,HospitalCounty,CountySum
0,Alameda,187970
12,Lake,4252
80,Butte,30326
104,Contra Costa,57598
140,El Dorado,6391
152,Fresno,96053
184,Mendocino,8088
192,Humboldt,29958
200,Imperial,7540
212,Kern,53807
264,Kings,5212
280,Los Angeles,1054177
692,Madera,5208
700,Marin,8227
736,Merced,13281
752,Monterey,34568
768,Napa,9641
776,Nevada,4040
784,Orange,207906
908,Placer,18144
920,Tuolumne,3036
924,Riverside,121118
1004,Sacramento,177751
1076,San Bernardino,168301
1164,San Diego,399156
1260,San Francisco,265358
1308,San Joaquin,55851
1352,San Luis Obispo,16467
1364,San Mateo,43189
1396,Santa Barbara,39389
1412,Santa Clara,91245
1464,Santa Cruz,32707
1480,Shasta,44407
1500,Solano,34699
1540,Sonoma,56155
1564,Stanislaus,61779
1616,Tulare,25220
1636,Ventura,44604
1664,Yolo,10084
1672,Yuba,30757
2460,Lassen,828
4565,Colusa,208
5887,Plumas,76
6590,Siskiyou,3292
7328,Glenn,44
7881,San Benito,2200
8568,Mariposa,392
11057,Mono,68
11431,Calaveras,392
12168,Modoc,148
12741,Sutter,408
12815,Inyo,200
15234,Tehama,5784
20255,Amador,1748
21125,Del Norte,3864
24575,Trinity,408
