,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
2,Homeless,Age,40 to 59,147,288
6,Homeless,Age,40 to 59,379,846
10,Homeless,Age,40 to 59,0,63
14,Homeless,Age,40 to 59,18,52
18,Homeless,Age,40 to 59,1818,4138
26,Homeless,Age,40 to 59,509,1045
30,Homeless,Age,40 to 59,116,265
34,Homeless,Age,40 to 59,174,337
46,Homeless,Age,40 to 59,216,671
50,Homeless,Age,40 to 59,105,225
54,Homeless,Age,40 to 59,29,106
66,Homeless,Age,40 to 59,209,451
70,Homeless,Age,40 to 59,361,710
74,Homeless,Age,40 to 59,55,95
82,Homeless,Age,40 to 59,4,13
86,Homeless,Age,40 to 59,293,680
90,Homeless,Age,40 to 59,512,1127
100,Homeless,Age,40 to 59,116,341
106,Homeless,Age,40 to 59,478,1075
110,Homeless,Age,40 to 59,256,475
114,Homeless,Age,40 to 59,281,592
118,Homeless,Age,40 to 59,23,41
122,Homeless,Age,40 to 59,379,812
126,Homeless,Age,40 to 59,13,34
134,Homeless,Age,40 to 59,52,79
142,Homeless,Age,40 to 59,47,89
146,Homeless,Age,40 to 59,115,243
154,Homeless,Age,40 to 59,91,152
158,Homeless,Age,40 to 59,1876,4099
166,Homeless,Age,40 to 59,314,615
170,Homeless,Age,40 to 59,16,47
186,Homeless,Age,40 to 59,33,70
194,Homeless,Age,40 to 59,458,990
202,Homeless,Age,40 to 59,117,237
206,Homeless,Age,40 to 59,27,58
214,Homeless,Age,40 to 59,11,34
218,Homeless,Age,40 to 59,234,474
222,Homeless,Age,40 to 59,299,741
226,Homeless,Age,40 to 59,1,8
230,Homeless,Age,40 to 59,223,495
242,Homeless,Age,40 to 59,153,308
256,Homeless,Age,40 to 59,66,148
266,Homeless,Age,40 to 59,37,109
282,Homeless,Age,40 to 59,70,113
290,Homeless,Age,40 to 59,267,556
298,Homeless,Age,40 to 59,2,5
302,Homeless,Age,40 to 59,681,1294
306,Homeless,Age,40 to 59,244,503
310,Homeless,Age,40 to 59,256,548
314,Homeless,Age,40 to 59,631,1243
318,Homeless,Age,40 to 59,1527,3094
326,Homeless,Age,40 to 59,588,1273
330,Homeless,Age,40 to 59,0,2
334,Homeless,Age,40 to 59,1282,3633
338,Homeless,Age,40 to 59,0,29
342,Homeless,Age,40 to 59,9,16
346,Homeless,Age,40 to 59,101,254
350,Homeless,Age,40 to 59,51,90
358,Homeless,Age,40 to 59,457,801
362,Homeless,Age,40 to 59,80,220
366,Homeless,Age,40 to 59,347,951
370,Homeless,Age,40 to 59,182,375
374,Homeless,Age,40 to 59,125,264
378,Homeless,Age,40 to 59,85,158
382,Homeless,Age,40 to 59,111,286
386,Homeless,Age,40 to 59,116,211
394,Homeless,Age,40 to 59,104,180
402,Homeless,Age,40 to 59,374,893
410,Homeless,Age,40 to 59,97,182
414,Homeless,Age,40 to 59,545,1052
418,Homeless,Age,40 to 59,345,710
422,Homeless,Age,40 to 59,245,543
426,Homeless,Age,40 to 59,644,1398
430,Homeless,Age,40 to 59,984,2237
434,Homeless,Age,40 to 59,498,1178
438,Homeless,Age,40 to 59,116,283
442,Homeless,Age,40 to 59,361,1121
446,Homeless,Age,40 to 59,93,201
450,Homeless,Age,40 to 59,34,76
454,Homeless,Age,40 to 59,64,152
458,Homeless,Age,40 to 59,15,38
462,Homeless,Age,40 to 59,285,670
466,Homeless,Age,40 to 59,272,593
470,Homeless,Age,40 to 59,217,514
474,Homeless,Age,40 to 59,90,219
478,Homeless,Age,40 to 59,130,259
482,Homeless,Age,40 to 59,323,725
486,Homeless,Age,40 to 59,767,1724
490,Homeless,Age,40 to 59,384,824
494,Homeless,Age,40 to 59,200,376
498,Homeless,Age,40 to 59,160,317
506,Homeless,Age,40 to 59,71,128
510,Homeless,Age,40 to 59,2,6
514,Homeless,Age,40 to 59,869,1884
518,Homeless,Age,40 to 59,320,796
526,Homeless,Age,40 to 59,2714,6601
530,Homeless,Age,40 to 59,8,18
534,Homeless,Age,40 to 59,417,771
538,Homeless,Age,40 to 59,322,691
542,Homeless,Age,40 to 59,204,412
546,Homeless,Age,40 to 59,747,1462
550,Homeless,Age,40 to 59,60,110
554,Homeless,Age,40 to 59,342,808
558,Homeless,Age,40 to 59,306,689
562,Homeless,Age,40 to 59,921,2014
566,Homeless,Age,40 to 59,328,739
570,Homeless,Age,40 to 59,535,1364
574,Homeless,Age,40 to 59,377,784
578,Homeless,Age,40 to 59,209,438
582,Homeless,Age,40 to 59,89,171
586,Homeless,Age,40 to 59,57,126
594,Homeless,Age,40 to 59,391,887
